ID_Cliente,Nome,Idade,Gênero,Email,País,Data_Compra,Produto,Categoria,Quantidade,Preço_Unitário,Forma_Pagamento,Avaliação,Cliente_Frequente
72,Dr. Paulo Freitas,46,Masculino,fcostela@caldeira.br,Brasil,2023-11-19,Feijão,Alimentos,4,1386.66,PIX,5,Não
73,Dr. Vinicius Ribeiro,48,Outro,icaldeira@campos.com,Moçambique,2024-09-25,Chocolate,Alimentos,5,668.27,Débito,3,Não
74,Luiza Vieira,34,Masculino,kda-mota@da.br,Brasil,2025-01-08,Jaqueta,Roupas,1,1488.33,Boleto,2,Sim
75,Nicole Dias,65,Feminino,kevinrezende@da.br,Portugal,2024-07-25,Geladeira,Casa,1,1666.93,PIX,2,Não
76,Camila Ferreira,29,Feminino,aaragao@hotmail.com,Brasil,2023-12-05,Sofá,Casa,3,100.58,Cartão de Crédito,5,Não
77,Alana Souza,62,Masculino,camilacavalcanti@da.br,Angola,2024-09-28,Smartphone,Eletrônicos,5,575.84,Débito,4,Não
78,Raul Campos,29,Masculino,wfogaca@dias.br,Portugal,2023-11-08,Romance,Livros,1,807.41,Cartão de Crédito,5,Sim
79,Maria Alves,27,Masculino,luiz-otaviopinto@yahoo.com.br,Moçambique,2024-09-13,Arroz,Alimentos,2,245.72,Débito,5,Sim
80,Daniel Castro,67,Outro,goncalvesjoana@bol.com.br,Angola,2025-01-07,Fantasia,Livros,3,1721.73,Débito,3,Sim
81,Antônio da Rosa,57,Outro,elisa84@ig.com.br,Brasil,2023-04-21,Calça Jeans,Roupas,3,1324.25,Boleto,2,Sim
82,Davi Lucca Caldeira,53,Masculino,freitasfernanda@uol.com.br,Argentina,2024-12-07,Fone de Ouvido,Eletrônicos,4,1381.85,Débito,3,Sim
83,Caroline Silveira,32,Feminino,araujojoao-miguel@duarte.br,Portugal,2023-10-12,Romance,Livros,2,1848.58,Boleto,4,Sim
84,Gabrielly Cardoso,52,Masculino,srodrigues@bol.com.br,Argentina,2023-12-23,Feijão,Alimentos,1,128.68,PIX,5,Não
85,Alexia Castro,46,Masculino,oliveiraluna@oliveira.com,Angola,2023-05-06,Chocolate,Alimentos,3,1005.94,Débito,4,Sim
86,Luiz Henrique da Rocha,56,Masculino,ysantos@ig.com.br,Angola,2023-07-02,Macarrão,Alimentos,1,191.74,Cartão de Crédito,3,Sim
87,Dra. Yasmin Mendes,66,Masculino,alveslavinia@pires.com,Angola,2023-09-27,Fogão,Casa,3,371.16,Débito,4,Sim
88,Alice Farias,48,Feminino,mgomes@silveira.br,Angola,2024-07-31,Macarrão,Alimentos,1,1716.89,PIX,4,Não
89,Kamilly Novaes,36,Outro,tfarias@uol.com.br,Angola,2024-03-20,Liquidificador,Casa,4,185.24,PIX,3,Sim
90,Gabrielly Gonçalves,67,Feminino,valentinaporto@moreira.net,Moçambique,2024-05-21,Fone de Ouvido,Eletrônicos,4,117.87,PIX,5,Não
91,Olivia Cardoso,58,Feminino,urodrigues@hotmail.com,Brasil,2023-12-04,Jaqueta,Roupas,5,270.72,PIX,4,Não
92,Rafaela Azevedo,25,Masculino,bryanfarias@martins.net,Moçambique,2024-06-23,Calça Jeans,Roupas,3,1106.17,Débito,1,Sim
93,Dra. Natália Nascimento,25,Feminino,alanamendes@gmail.com,Brasil,2024-09-06,Vestido,Roupas,3,1022.66,PIX,4,Não
94,Milena Freitas,48,Masculino,vcardoso@bol.com.br,Angola,2024-01-23,Sofá,Casa,4,389.31,Boleto,1,Não
95,Davi da Luz,67,Feminino,rsilva@ig.com.br,Portugal,2024-02-14,Geladeira,Casa,1,572.85,PIX,5,Não
96,Dra. Alexia Fogaça,27,Feminino,joao-lucas82@ig.com.br,Moçambique,2024-11-17,Autoajuda,Livros,3,1108.32,Débito,4,Não
97,Maria Cecília Jesus,30,Outro,luana78@bol.com.br,Argentina,2023-12-05,Fogão,Casa,2,1713.47,Débito,1,Não
98,Dra. Alícia Lopes,65,Feminino,fernandesguilherme@alves.br,Angola,2023-05-19,Suspense,Livros,4,1930.0,Boleto,5,Não
99,Bianca Pereira,24,Feminino,maria-fernanda94@dias.com,Brasil,2024-07-07,Fogão,Casa,1,1447.66,Débito,2,Sim
100,Maria Eduarda Carvalho,48,Feminino,nascimentoamanda@gmail.com,Portugal,2024-02-08,Fogão,Casa,1,1705.01,Débito,3,Não
101,Lucas da Rocha,52,Masculino,melojuliana@ramos.com,Moçambique,2024-12-03,Notebook,Eletrônicos,3,1994.88,Cartão de Crédito,4,Sim
102,Valentina Peixoto,66,Outro,dfarias@cavalcanti.com,Brasil,2023-11-19,Suspense,Livros,3,1807.81,Cartão de Crédito,3,Sim
103,Isabella Campos,36,Feminino,da-pazjoao-vitor@goncalves.br,Portugal,2023-06-13,Suspense,Livros,2,1067.02,Boleto,2,Sim
104,Guilherme Silveira,23,Outro,freitasana-laura@cunha.com,Angola,2024-10-18,Sofá,Casa,4,1826.53,Boleto,2,Não
105,Juan Rezende,58,Feminino,araujoluna@gmail.com,Angola,2024-07-06,Arroz,Alimentos,4,1803.41,Boleto,1,Não
106,Pietro Dias,40,Outro,bruna87@ig.com.br,Portugal,2023-12-17,Autoajuda,Livros,4,1692.15,Boleto,4,Não
107,Mariana Santos,24,Masculino,xcosta@gmail.com,Angola,2023-10-14,Geladeira,Casa,5,598.79,PIX,1,Não
108,Heitor Dias,35,Masculino,msilveira@peixoto.br,Moçambique,2023-10-30,Fone de Ouvido,Eletrônicos,3,1553.72,Boleto,5,Não
109,Sra. Bianca Rocha,32,Outro,aragaobrenda@bol.com.br,Argentina,2024-04-07,Geladeira,Casa,2,1260.21,Cartão de Crédito,3,Não
110,Joaquim Novaes,20,Outro,vicente25@ig.com.br,Portugal,2024-03-04,Camiseta,Roupas,3,660.17,Débito,2,Sim
111,Vinicius da Cunha,26,Outro,mmoreira@uol.com.br,Portugal,2025-02-13,Geladeira,Casa,2,521.37,Débito,3,Não
112,Natália Cardoso,69,Masculino,emanuel73@ig.com.br,Angola,2023-05-03,Notebook,Eletrônicos,2,1721.68,Débito,5,Não
113,Sr. Miguel da Mota,23,Feminino,woliveira@viana.com,Brasil,2024-12-07,Arroz,Alimentos,4,743.49,PIX,5,Não
114,Camila Gomes,70,Outro,ocastro@gmail.com,Portugal,2024-01-05,Notebook,Eletrônicos,4,59.8,PIX,5,Sim
115,Sr. Marcelo Rezende,59,Masculino,acarvalho@sales.org,Angola,2025-03-13,Chocolate,Alimentos,1,288.16,Cartão de Crédito,3,Não
116,Srta. Amanda Moraes,25,Masculino,isadorada-luz@farias.com,Argentina,2023-11-15,Sofá,Casa,4,912.75,Débito,5,Sim
117,Davi Lucas Azevedo,44,Outro,sarah98@bol.com.br,Brasil,2023-12-13,Fantasia,Livros,3,75.11,PIX,2,Não
118,Luiz Felipe Vieira,46,Masculino,marcos-vinicius09@da.com,Portugal,2024-01-16,Tablet,Eletrônicos,5,1804.38,PIX,1,Não
119,Rodrigo Novaes,35,Masculino,maysarocha@oliveira.br,Brasil,2023-12-10,Romance,Livros,2,1286.99,Cartão de Crédito,1,Não
120,Pedro Nogueira,33,Masculino,nicolasfernandes@gmail.com,Moçambique,2025-01-05,Camiseta,Roupas,5,422.24,Boleto,2,Não
121,Danilo Nogueira,67,Masculino,cferreira@campos.br,Moçambique,2023-08-10,Tablet,Eletrônicos,2,1975.18,PIX,2,Sim
122,Srta. Isis Moreira,60,Masculino,costelalevi@bol.com.br,Argentina,2023-05-09,Tablet,Eletrônicos,2,1181.82,Cartão de Crédito,2,Não
123,Bryan Moraes,21,Masculino,dmonteiro@bol.com.br,Angola,2025-04-01,Liquidificador,Casa,1,957.73,PIX,5,Sim
124,Mariane da Costa,46,Outro,da-matadavi@da.net,Argentina,2024-04-16,Liquidificador,Casa,5,610.24,Cartão de Crédito,1,Não
125,Sr. João Felipe Monteiro,43,Feminino,tgomes@da.br,Brasil,2023-08-09,Fantasia,Livros,1,1799.54,PIX,5,Sim
126,Sr. Vitor Gabriel Carvalho,22,Masculino,lopesemanuella@teixeira.br,Portugal,2024-09-17,Geladeira,Casa,4,1989.31,PIX,4,Não
127,Davi Lucas Moreira,24,Outro,pda-mata@yahoo.com.br,Brasil,2023-08-31,Sofá,Casa,4,908.59,Boleto,4,Não
128,Dra. Ana Laura Freitas,70,Feminino,rafaela91@yahoo.com.br,Angola,2024-11-17,Romance,Livros,3,859.26,PIX,3,Sim
129,Sr. Thomas Nascimento,61,Feminino,lunacostela@gmail.com,Brasil,2023-07-31,Smartphone,Eletrônicos,1,869.43,PIX,2,Sim
130,Sra. Natália Moraes,55,Outro,bribeiro@nogueira.com,Moçambique,2023-11-29,Arroz,Alimentos,4,713.66,Débito,1,Não
131,Ana Porto,56,Feminino,novaesmaria-alice@hotmail.com,Portugal,2023-08-16,Notebook,Eletrônicos,2,1316.91,Boleto,1,Não
132,Srta. Bianca da Paz,53,Feminino,eduarda90@freitas.com,Brasil,2024-11-11,Feijão,Alimentos,4,1691.86,Cartão de Crédito,5,Não
133,Carlos Eduardo da Rocha,19,Masculino,aliciamoraes@carvalho.org,Portugal,2024-08-10,Macarrão,Alimentos,3,22.15,Boleto,5,Não
134,Ian Costa,22,Masculino,thiagooliveira@hotmail.com,Brasil,2024-07-25,Notebook,Eletrônicos,4,845.47,PIX,2,Não
135,Maria Sophia Nascimento,37,Outro,franciscocavalcanti@bol.com.br,Portugal,2023-12-13,Liquidificador,Casa,1,319.6,Cartão de Crédito,1,Não
136,Benjamin Barbosa,46,Outro,fariaslucas-gabriel@pinto.com,Angola,2024-02-26,Fantasia,Livros,4,553.6,Cartão de Crédito,3,Não
137,Luiz Gustavo Lima,25,Feminino,emanuelly17@gmail.com,Moçambique,2024-03-26,Autoajuda,Livros,1,448.83,Cartão de Crédito,1,Sim
138,Maria Sophia Melo,37,Masculino,uda-paz@carvalho.br,Argentina,2023-12-06,Macarrão,Alimentos,3,248.77,Débito,4,Sim
139,Pietra Ribeiro,26,Feminino,evelyn43@duarte.net,Moçambique,2024-12-13,Jaqueta,Roupas,1,800.17,Cartão de Crédito,4,Sim
140,Pedro Miguel Moreira,47,Masculino,alveslucas@da.net,Portugal,2023-04-10,Fogão,Casa,5,814.8,Débito,3,Sim
141,Dra. Bruna Silva,43,Masculino,davi-luizcampos@yahoo.com.br,Portugal,2025-01-03,Vestido,Roupas,3,185.38,Cartão de Crédito,2,Não
142,Juan Cardoso,55,Feminino,azevedosofia@gmail.com,Moçambique,2025-01-27,Fone de Ouvido,Eletrônicos,3,1494.15,Boleto,3,Sim
143,Dra. Bárbara Rezende,22,Outro,ana-livia83@barros.com,Brasil,2023-10-29,Sofá,Casa,3,708.69,Boleto,2,Sim
144,Laura Teixeira,27,Feminino,ribeiroaugusto@silveira.com,Argentina,2023-11-05,Calça Jeans,Roupas,1,362.52,Débito,4,Não
145,Sr. Enzo Aragão,61,Outro,ogomes@nascimento.org,Moçambique,2024-02-29,Macarrão,Alimentos,2,885.13,Débito,4,Não
146,Davi Luiz Araújo,68,Feminino,costelanatalia@uol.com.br,Moçambique,2023-09-03,Tablet,Eletrônicos,5,157.64,Débito,4,Sim
147,Dra. Ana Luiza Cunha,21,Feminino,kamilly89@ferreira.com,Portugal,2024-07-27,Smartphone,Eletrônicos,5,1192.22,Débito,4,Sim
148,Dr. Luiz Miguel Melo,46,Outro,speixoto@caldeira.com,Argentina,2023-10-31,Chocolate,Alimentos,5,310.21,Cartão de Crédito,4,Sim
149,Luiz Fernando Barbosa,69,Feminino,moraesluigi@nogueira.com,Brasil,2024-09-19,Sofá,Casa,1,503.01,Débito,4,Sim
150,Dr. Luigi Fogaça,41,Feminino,sarah09@pinto.com,Portugal,2024-05-01,Fantasia,Livros,3,1361.01,Cartão de Crédito,3,Sim
151,Marina Campos,39,Masculino,davi-luccacunha@rezende.com,Moçambique,2024-04-24,Autoajuda,Livros,3,1450.23,Boleto,3,Sim
152,Vitória Pinto,55,Outro,ana-luiza11@da.com,Argentina,2024-05-16,Macarrão,Alimentos,4,266.61,Cartão de Crédito,3,Não
153,Lucca Cardoso,59,Feminino,catarina13@bol.com.br,Argentina,2024-07-20,Liquidificador,Casa,4,1021.89,Cartão de Crédito,3,Não
154,Dra. Natália da Mata,29,Masculino,vitor69@da.com,Portugal,2024-01-03,Suspense,Livros,2,1999.95,Boleto,1,Não
155,Maysa da Paz,68,Masculino,guilherme92@hotmail.com,Moçambique,2023-10-10,Liquidificador,Casa,3,1754.02,Boleto,5,Não
156,João Miguel Gonçalves,27,Masculino,correiamiguel@cardoso.net,Argentina,2024-04-08,Sofá,Casa,4,96.95,PIX,2,Não
157,Eduardo Araújo,57,Feminino,ana-julia28@vieira.com,Angola,2024-03-26,Calça Jeans,Roupas,3,1931.54,Débito,2,Não
158,Lara Vieira,61,Outro,isadora61@farias.net,Angola,2024-01-25,Autoajuda,Livros,4,1010.78,Débito,2,Sim
159,Bianca Pereira,69,Outro,silveirayuri@peixoto.com,Argentina,2023-10-21,Arroz,Alimentos,4,1749.49,Cartão de Crédito,5,Sim
160,Evelyn da Cunha,36,Masculino,steixeira@bol.com.br,Argentina,2023-06-18,Chocolate,Alimentos,5,303.22,Débito,1,Sim
161,Thomas Freitas,70,Feminino,almeidamatheus@bol.com.br,Portugal,2024-05-21,Fone de Ouvido,Eletrônicos,1,798.94,PIX,2,Não
162,Pietro da Conceição,23,Feminino,kaique03@nascimento.com,Argentina,2023-10-09,Tablet,Eletrônicos,1,1679.96,PIX,2,Sim
163,Cecília Fernandes,20,Feminino,luna88@almeida.br,Angola,2024-09-18,Vestido,Roupas,4,1234.54,Cartão de Crédito,1,Não
164,Miguel Mendes,31,Masculino,enzo56@yahoo.com.br,Moçambique,2025-02-28,Fogão,Casa,1,1554.58,Boleto,3,Sim
165,Agatha Silveira,21,Masculino,rochajoao-pedro@bol.com.br,Angola,2024-02-19,Fogão,Casa,1,230.61,Débito,5,Sim
166,Maria Fernanda Cavalcanti,58,Outro,maria-fernandapeixoto@bol.com.br,Moçambique,2025-02-21,Calça Jeans,Roupas,3,864.19,PIX,2,Não
167,Bruno Gomes,29,Outro,jnunes@ig.com.br,Brasil,2023-09-02,Geladeira,Casa,1,1907.27,Cartão de Crédito,4,Não
168,Sr. Lucas Rodrigues,20,Outro,jesusstephany@almeida.net,Angola,2024-04-14,Macarrão,Alimentos,1,720.62,Cartão de Crédito,3,Sim
169,Yuri Ribeiro,64,Outro,camposarthur@gmail.com,Brasil,2025-02-13,Geladeira,Casa,2,98.23,PIX,2,Não
170,Levi Fernandes,62,Feminino,sophie55@gmail.com,Argentina,2023-06-08,Camiseta,Roupas,4,83.6,Boleto,1,Sim
171,Ana Sophia Rezende,20,Feminino,melissabarbosa@costa.br,Portugal,2024-05-23,Fogão,Casa,5,952.07,Cartão de Crédito,2,Não
172,Srta. Alícia Castro,40,Masculino,duartelevi@martins.org,Portugal,2024-04-05,Arroz,Alimentos,3,879.53,Débito,4,Não
173,Letícia Fernandes,39,Masculino,jalves@uol.com.br,Angola,2023-04-29,Autoajuda,Livros,5,540.77,Cartão de Crédito,4,Sim
174,Sra. Luana Vieira,45,Outro,mbarbosa@ig.com.br,Argentina,2025-01-17,Geladeira,Casa,3,214.17,PIX,3,Não
175,Srta. Gabriela Silva,46,Outro,pereirakevin@uol.com.br,Angola,2024-08-29,Vestido,Roupas,3,899.79,PIX,5,Não
176,Ana Júlia Ferreira,35,Outro,pintoyasmin@silva.br,Brasil,2023-12-04,Fone de Ouvido,Eletrônicos,3,1031.04,Boleto,1,Sim
177,Vicente da Conceição,56,Outro,portobenicio@jesus.br,Angola,2025-03-28,Notebook,Eletrônicos,1,479.63,PIX,3,Não
178,Thales Gonçalves,54,Masculino,gabrielarezende@da.org,Moçambique,2024-05-06,Vestido,Roupas,3,750.31,Cartão de Crédito,5,Sim
179,Dr. Davi Luiz Almeida,51,Feminino,juliapires@ig.com.br,Angola,2024-01-06,Macarrão,Alimentos,2,1921.43,Cartão de Crédito,2,Não
180,Isabelly Santos,51,Feminino,lucca51@jesus.net,Moçambique,2024-09-27,Tablet,Eletrônicos,3,1411.04,Boleto,5,Não
181,Sra. Isadora Barbosa,62,Feminino,sgomes@moraes.net,Argentina,2023-06-23,Notebook,Eletrônicos,1,909.56,Débito,1,Não
182,Heitor Moreira,60,Feminino,ana-laura85@ig.com.br,Brasil,2024-04-11,Geladeira,Casa,3,1704.21,Boleto,3,Sim
183,Gabriela da Mota,25,Masculino,bvieira@ig.com.br,Argentina,2024-07-10,Vestido,Roupas,1,728.18,PIX,4,Sim
184,Rodrigo Silva,57,Masculino,marcelo75@mendes.org,Brasil,2024-04-05,Chocolate,Alimentos,4,1056.13,Débito,5,Sim
185,Stephany Jesus,26,Feminino,da-rosakevin@yahoo.com.br,Brasil,2023-06-02,Fantasia,Livros,5,695.58,Boleto,2,Não
186,Mariana Cunha,50,Masculino,anthonyviana@mendes.br,Brasil,2024-08-11,Sofá,Casa,3,337.67,PIX,2,Não
187,João Guilherme Pinto,51,Feminino,ana69@rocha.br,Brasil,2025-03-01,Feijão,Alimentos,5,556.16,PIX,5,Sim
